question_id,option_id,option_label,is_missing
2023-071_q17,1,Democratic Party,false
2023-071_q17,2,Republican Party,false
2023-071_q17,3,Don’t know,false
2023-071_q21,1,Democrats,false
2023-071_q21,2,Hispanics,false
2023-071_q21,3,None of the above,false
2023-071_q21,4,Republicans,false
2023-071_q21,5,Trump Supporters,false
2023-071_q21,6,Feminists,false
2023-071_q21,7,Liberals,false
2023-071_q21,8,Conservatives,false
2023-071_q21,9,Evangelical Christians,false
2023-071_q21,10,Whites,false
2023-071_q21,11,Blacks,false
2024-006_a82_jackson,1,Abortion is fully banned with no exceptions,false
2024-006_a82_jackson,2,Abortion is fully banned with few exceptions,false
2024-006_a82_jackson,3,Abortion is legal very early in pregnancy (up to 6-9 weeks) and illegal after,false
2024-006_a82_jackson,4,Abortion is legal very early in pregnancy (up to 15-20 weeks) and illegal after,false
2024-006_a82_jackson,5,Abortion is legal with very few or no restrictions,false
2024-006_a82_jackson,6,Not sure what the laws in my state are,false
2024-037_q4,1,Support,false
2024-037_q4,2,Oppose,false
2024-037_q4,3,Don’t know,false
2024-103_educ_pol_1,1,"Culture (movie, music, etc.)",false
2024-103_educ_pol_1,2,Language,false
2024-103_educ_pol_1,3,Political system (democracy),false
2024-103_educ_pol_1,4,Diversity,false
2024-103_educ_pol_1,5,Economy,false
2024-103_educ_pol_1,6,Military,false
2024-103_educ_pol_1,7,Something Else,false
2024-103_educ_pol_10,1,Kamala Harris,false
2024-103_educ_pol_10,2,Donald Trump,false
2024-103_educ_pol_10,3,Someone else,false
2024-103_educ_pol_11,1,educ_pol_11_1,false
2024-103_educ_pol_11,2,educ_pol_11_2,false
2024-103_educ_pol_11,3,educ_pol_11_3,false
2024-103_educ_pol_11,4,educ_pol_11_4,false
2024-103_educ_pol_11,5,educ_pol_11_5,false
2024-103_educ_pol_11,6,educ_pol_11_6,false
2024-103_educ_pol_11,7,educ_pol_11_7,false
2024-103_educ_pol_11,8,educ_pol_11_8,false
2024-103_educ_pol_12,1,Kamala Harris,false
2024-103_educ_pol_12,2,Donald Trump,false
2024-103_educ_pol_12,3,Other candidate,false
2024-103_educ_pol_12,4,None of the above,false
2024-103_educ_pol_13,1,Strongly Disagree,false
2024-103_educ_pol_13,2,Disagree,false
2024-103_educ_pol_13,3,Somewhat Disagree,false
2024-103_educ_pol_13,4,Neither Disagree nor Agree,false
2024-103_educ_pol_13,5,Somewhat Agree,false
2024-103_educ_pol_13,6,Agree,false
2024-103_educ_pol_13,7,Strongly Agree,false
2024-103_educ_pol_14,1,Strongly agree,false
2024-103_educ_pol_14,2,Agree,false
2024-103_educ_pol_14,3,Disagree,false
2024-103_educ_pol_14,4,Strongly disagree,false
2024-103_educ_pol_17,1,Agree with pulling down posters,false
2024-103_educ_pol_17,2,I oppose people tearing down hostage posters,false
2024-103_educ_pol_17,3,I don’t care if posters are torn down,false
2024-103_educ_pol_18,1,Support,false
2024-103_educ_pol_18,2,Oppose,false
2024-103_educ_pol_18,3,I don’t know,false
2024-103_educ_pol_19,1,Strongly disagree,false
2024-103_educ_pol_19,2,Disagree,false
2024-103_educ_pol_19,3,Neither agree nor disagree,false
2024-103_educ_pol_19,4,Agree,false
2024-103_educ_pol_19,5,Strongly agree,false
2024-103_educ_pol_2,1,Agree strongly,false
2024-103_educ_pol_2,2,Agree somewhat,false
2024-103_educ_pol_2,3,Agree slightly,false
2024-103_educ_pol_2,4,Disagree slightly,false
2024-103_educ_pol_2,5,Disagree somewhat,false
2024-103_educ_pol_2,6,Disagree strongly,false
2024-103_educ_pol_20,1,Much less likely to support,false
2024-103_educ_pol_20,2,Less likely to support,false
2024-103_educ_pol_20,3,Would not affect my support,false
2024-103_educ_pol_20,4,More likely to support,false
2024-103_educ_pol_20,5,Much more likely to support,false
2024-103_educ_pol_21,1,Male,false
2024-103_educ_pol_21,2,Female,false
2024-103_educ_pol_21,3,Don’t Know,false
2024-103_educ_pol_22,1,Strongly agree,false
2024-103_educ_pol_22,2,Somewhat agree,false
2024-103_educ_pol_22,3,Neutral,false
2024-103_educ_pol_22,4,Somewhat disagree,false
2024-103_educ_pol_22,5,Strongly disagree,false
2024-103_educ_pol_22,6,Prefer not to answer,false
2024-103_educ_pol_23,1,The president gives a prime time speech on the steps Americans should take to reduce their carbon footprint.,false
2024-103_educ_pol_23,2,The president enters into an agreement with other countries to implement a global carbon tax.,false
2024-103_educ_pol_23,3,"The president uses an executive order to set more stringent fuel standards for vehicles, requiring car manufacturers to increase the fuel efficiency of many of their vehicles.",false
2024-103_educ_pol_23,4,The president uses an executive order to create a jobs program that would employ 1 million Americans in jobs to make the country’s infrastructure more environmentally sustainable.,false
2024-103_educ_pol_23,5,The president uses an executive order to mandate that all power in the United States must come from renewable sources by 2050.,false
2024-103_educ_pol_23,6,The president refuses to implement a law passed by Congress that would significantly increase the country’s carbon emissions.,false
2024-103_educ_pol_23,7,None of the above,false
2024-103_educ_pol_24,1,Strongly agree,false
2024-103_educ_pol_24,2,Agree,false
2024-103_educ_pol_24,3,Neither agree nor disagree,false
2024-103_educ_pol_24,4,Disagree,false
2024-103_educ_pol_24,5,Strongly disagree,false
2024-103_educ_pol_26,1,The fulfillment of election pledges is preferable when it benefits people like me.,false
2024-103_educ_pol_26,2,The fulfillment of election pledges is preferable when it provides for the good of society as a whole.,false
2024-103_educ_pol_27,1,Strongly disagree,false
2024-103_educ_pol_27,2,Disagree,false
2024-103_educ_pol_27,3,Neutral,false
2024-103_educ_pol_27,4,Agree,false
2024-103_educ_pol_27,5,Strongly agree,false
2024-103_educ_pol_28,1,0 - Absolutely Wrong,false
2024-103_educ_pol_28,2,1,false
2024-103_educ_pol_28,3,2,false
2024-103_educ_pol_28,4,3,false
2024-103_educ_pol_28,5,4,false
2024-103_educ_pol_28,6,5,false
2024-103_educ_pol_28,7,6,false
2024-103_educ_pol_28,8,7,false
2024-103_educ_pol_28,9,8,false
2024-103_educ_pol_28,10,9,false
2024-103_educ_pol_28,11,10 - Absolutely Right,false
2024-103_educ_pol_3,1,"Yes, stopped in the street or while driving",false
2024-103_educ_pol_3,2,"Yes, arrested",false
2024-103_educ_pol_3,3,"Yes, incarcerated (prison or jail)",false
2024-103_educ_pol_3,4,"Yes, detained in some other way",false
2024-103_educ_pol_3,5,"No, none of these",false
2024-103_educ_pol_4,1,Very satisfied,false
2024-103_educ_pol_4,2,Somewhat satisfied,false
2024-103_educ_pol_4,3,Neither satisfied or disatisfied,false
2024-103_educ_pol_4,4,Somewhat disatisfied,false
2024-103_educ_pol_4,5,Very disatisfied,false
2024-103_educ_pol_5,1,The police,false
2024-103_educ_pol_5,2,The victim of the crime,false
2024-103_educ_pol_5,3,The prosecutor,false
2024-103_educ_pol_5,4,The grand jury,false
2024-103_educ_pol_5,5,The judge,false
2024-103_educ_pol_5,6,Someone else,false
2024-103_educ_pol_5,7,I don't know,false
2024-103_educ_pol_6,1,Strongly support,false
2024-103_educ_pol_6,2,Somewhat support,false
2024-103_educ_pol_6,3,Somewhat oppose,false
