question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2023-071_q17,1,Democratic Party,0.37566597808712493,37.57,375.6659780871251,399,false,https://verasight-apsa-2023.tiiny.co
2023-071_q17,2,Republican Party,0.41872264009695326,41.87,418.72264009695346,413,false,https://verasight-apsa-2023.tiiny.co
2023-071_q17,3,Don’t know,0.20561138181592173,20.56,205.61138181592182,188,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,1,Democrats,0.1842559023782118,18.43,184.2559023782125,173,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,2,Hispanics,0.07968534965982493,7.97,79.68534965982523,71,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,3,None of the above,0.34234475008673815,34.23,342.34475008673945,346,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,4,Republicans,0.1418262431762463,14.18,141.82624317624686,153,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,5,Trump Supporters,0.3058687015204839,30.59,305.8687015204851,336,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,6,Feminists,0.12147712786501069,12.15,121.47712786501116,111,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,7,Liberals,0.20144539699441527,20.14,201.44539699441606,185,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,8,Conservatives,0.11078959311464631,11.08,110.78959311464673,111,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,9,Evangelical Christians,0.16058984132585674,16.06,160.58984132585735,187,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,10,Whites,0.04295849887469735,4.3,42.95849887469751,41,false,https://verasight-apsa-2023.tiiny.co
2023-071_q21,11,Blacks,0.06750907162992953,6.75,67.50907162992979,60,false,https://verasight-apsa-2023.tiiny.co
2024-006_a82_jackson,1,Abortion is fully banned with no exceptions,0.10096267887948315,10.1,100.96267887948319,97,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-006_a82_jackson,2,Abortion is fully banned with few exceptions,0.1418130655422657,14.18,141.81306554226575,147,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-006_a82_jackson,3,Abortion is legal very early in pregnancy (up to 6-9 weeks) and illegal after,0.13604877439147567,13.6,136.04877439147572,143,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-006_a82_jackson,4,Abortion is legal very early in pregnancy (up to 15-20 weeks) and illegal after,0.10774767028590798,10.77,107.74767028590803,110,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-006_a82_jackson,5,Abortion is legal with very few or no restrictions,0.2733991888410677,27.34,273.3991888410678,289,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-006_a82_jackson,6,Not sure what the laws in my state are,0.2400286220597997,24,240.0286220597998,214,false,https://reports.verasight.io/reports/verasight-interdisciplinary-omnibus-survey-2024-006#to-the-best-of-your-knowledge-what-is-the-legal-status-of-abortion-in-your-state-as-of-today
2024-037_q4,1,Support,0.30750704136636825,30.75,307.50704136636824,292,false,https://verasight-mpsa-2024.tiiny.co
2024-037_q4,2,Oppose,0.44908103525827164,44.91,449.08103525827164,479,false,https://verasight-mpsa-2024.tiiny.co
2024-037_q4,3,Don’t know,0.24341192337536016,24.34,243.41192337536017,229,false,https://verasight-mpsa-2024.tiiny.co
2024-103_educ_pol_1,1,"Culture (movie, music, etc.)",0.2110969930140502,21.11,211.09699301405018,196,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,2,Language,0.02933009103442842,2.93,29.33009103442842,22,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,3,Political system (democracy),0.11924402687296441,11.92,119.24402687296441,133,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,4,Diversity,0.2151289277075799,21.51,215.12892770757992,230,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,5,Economy,0.05266368479863503,5.27,52.66368479863503,58,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,6,Military,0.2172312974590229,21.72,217.2312974590229,208,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_1,7,Something Else,0.15530497911331917,15.53,155.30497911331918,153,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_10,1,Kamala Harris,0.4779472933951947,47.79,477.9472933951947,516,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_10,2,Donald Trump,0.46537786989432994,46.54,465.37786989432993,444,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_10,3,Someone else,0.05667483671047543,5.67,56.674836710475425,40,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_11,1,educ_pol_11_1,0.17608376465750292,17.61,176.0837646575029,199,false,https://verasight-apsa-2024.tiiny.co
2024-103_educ_pol_11,2,educ_pol_11_2,0.0670222706410172,6.7,67.0222706410172,77,false,https://verasight-apsa-2024.tiiny.co
